species,n_shot,strategy,decoy_mode,n_heldout,decoy_sim_top1,auc_s1,auc_s1_sd,f1_s1,prec_s1,rec_s1,auc_ver,auc_ver_sd,f1_ver,prec_ver,rec_ver
whbsho3,5,rated,hard,17,0.4190371632575989,0.44916666666666666,0.003142696805273565,0.5575322812051651,0.6142572283150548,0.5166666666666667,0.6802777777777778,0.061871843353822925,0.6213112965690285,0.8324520172346259,0.49583333333333335
bcnher,5,rated,hard,495,0.4867987036705017,0.4353472222222222,0.03682847818679938,0.6828148595590455,0.7431009957325747,0.6333333333333333,0.7821527777777778,0.02504336516702355,0.7546285067507478,0.8197785414280259,0.7
barswa,5,rated,hard,495,0.3896089494228363,0.5863888888888888,0.020427529234278013,0.6622040362307327,0.7114322533136965,0.6208333333333333,0.7788194444444445,0.04468522019998321,0.7515054762963262,0.8177093267213427,0.6958333333333333
whbsho3,5,rated,medium,17,0.27767419815063477,0.44791666666666663,0.01983827358328925,0.6015396693854407,0.6897082288579894,0.5375,0.678125,0.009133462590326253,0.6569259340179157,0.8835047468354431,0.525
bcnher,5,rated,medium,495,0.3946211636066437,0.5759027777777778,0.015909902576697294,0.7122485357779474,0.8024453024453024,0.6458333333333333,0.8217361111111111,0.018463343730982133,0.7715040027252598,0.8654177433247201,0.7
barswa,5,rated,medium,495,0.25735801458358765,0.641875,0.03152517732790023,0.6705110282696489,0.7131477591036415,0.6333333333333333,0.8263194444444444,0.009722718241315056,0.7281289910600255,0.7872023809523809,0.6791666666666667
whbsho3,5,rated,random,17,0.3756542205810547,0.46559027777777773,0.0724293404340387,0.575144160011581,0.7026281399738638,0.4916666666666667,0.6998263888888889,0.05936750683712057,0.649098174748893,0.8632543926661573,0.5208333333333333
bcnher,5,rated,random,495,0.45346012711524963,0.6154861111111112,0.04095326774372092,0.6880754598050471,0.804608238601638,0.6041666666666667,0.8372916666666667,0.03231085152921866,0.7726526347216003,0.8722457397156191,0.7
barswa,5,rated,random,495,0.3746994137763977,0.6168055555555556,0.021998877636914875,0.6801718328840971,0.7598244147157192,0.6166666666666667,0.821388888888889,0.0445870109248184,0.7389467395015363,0.8400479094076655,0.6666666666666667
