stereotypy,spectral_centroid_hz,spectral_bandwidth_hz,call_duration_s,decoy_sim_top1,decoy_sim_mean,species,n_recordings,n_shot,shot_strategy,n_heldout_calls,clf_train_acc,perch_version,perch_embed_dim,perch_peak_norm,perch_backend,verifier,encoder_seed,fusion,feature,n_seeds,use_timefilter,use_hard_neg,ap,f1,p,r,fptp,auc,ratio,fa_per_hr,fa_per_hr_r90,ap_sd,f1_sd,p_sd,r_sd,fptp_sd,auc_sd,ratio_sd,fa_per_hr_sd,fa_per_hr_r90_sd
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,stage-1 only  (p),pcen,3,False,False,0.5066845522468305,0.5767255545456176,0.6333002278718988,0.5388888888888889,0.5722222222222222,0.47064814814814815,1.090552995391705,73.0,215.0,0.03620861561820103,0.03782060937177119,0.12414740061906877,0.02545875386086575,0.2673602092336881,0.026622624703258206,0.07831627421784576,29.33001875212493,32.04293994002423
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,perch only    (v),pcen,3,False,False,0.5389554717390077,0.6332487309644669,0.7978896103896105,0.525,0.2611111111111111,0.6620370370370371,0.4147476353358706,12.0,214.0,0.05062288469802379,0.03780376552107569,0.0523898120034238,0.03004626062886661,0.1873301700009707,0.013836242814663884,0.032152688690411074,3.968626966596886,29.25320495262015
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,p * v,pcen,3,False,False,0.517562292987113,0.5835252930879778,0.6467575187969925,0.5388888888888889,0.5,0.49060185185185184,1.0409597909597912,73.5,211.5,0.037572261410393375,0.03303598052225616,0.10050885421125884,0.034694433324435545,0.2645751311064591,0.01952381288445793,0.11984937528902137,37.67957006124141,26.153393661244042
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,p * sqrt(v),pcen,3,False,False,0.5128810452907899,0.5795231999589786,0.6414165258106507,0.5361111111111111,0.5333333333333333,0.4826851851851852,1.0452140452140453,74.5,212.5,0.036637005803466446,0.03389756502584132,0.09904726116481662,0.03938179688543842,0.2619372274250285,0.023331817631547062,0.115663301867632,37.239092362730865,26.509432283623127
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,sqrt(p) * v,pcen,3,False,False,0.5251354323061159,0.5893004941245273,0.6493055555555555,0.5416666666666666,0.47222222222222215,0.5088888888888888,1.027975013340867,71.5,215.5,0.03883911373992682,0.033871745239243245,0.07311798954463986,0.016666666666666663,0.23353166174426335,0.018796752411907945,0.14476173288471697,32.737593069741706,30.31088913245535
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,0,geo mean sqrt(p*v),pcen,3,False,False,0.517562292987113,0.5835252930879778,0.6467575187969925,0.5388888888888889,0.5,0.49060185185185184,1.0409597909597912,73.5,211.5,0.037572261410393375,0.03303598052225616,0.10050885421125884,0.034694433324435545,0.2645751311064591,0.01952381288445793,0.11984937528902137,37.67957006124141,26.153393661244042
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,stage-1 only  (p),pcen,3,False,False,0.5044040070546624,0.5754329004329004,0.6016502795450164,0.5555555555555556,0.6277777777777778,0.45625,1.0788362154641222,101.5,216.0,0.02714100366948345,0.04507767388597932,0.085733747911123,0.03367876570272811,0.1575271875417536,0.0291706346507224,0.11425894587931025,37.027017163147235,58.5
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,perch only    (v),pcen,3,False,False,0.5343637383273812,0.640830069401498,0.8223121907332432,0.525,0.19999999999999998,0.6825000000000001,0.3668955387032862,10.0,218.0,0.046154015665935376,0.03885896988052213,0.05707274928224034,0.028867513459481284,0.15275252316519466,0.0488270995262687,0.055346949665974136,4.8218253804964775,57.00657856774076
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,p * v,pcen,3,False,False,0.5151520838066599,0.5789316170555109,0.6050362844702467,0.5583333333333333,0.5777777777777778,0.483287037037037,1.0829448329448328,97.5,215.0,0.028656873630172885,0.041955579674811214,0.08015250088527738,0.028867513459481253,0.15396007178390017,0.02410846012905507,0.1273737790842585,31.5,56.331607468631674
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,p * sqrt(v),pcen,3,False,False,0.5105655078913992,0.5761544011544011,0.602960372960373,0.5555555555555556,0.5888888888888889,0.4709722222222222,1.0753690753690752,98.5,216.0,0.027546291571480058,0.04436969865353179,0.0838438305881239,0.03367876570272811,0.14938144066387501,0.0269218834527225,0.12110187144326824,33.75277766347534,57.059179804830706
