run_type,species,arm,n_seeds,auc,auc_sd,f1,prec,rec,fa_per_hr,n_heldout_calls,n_distinct_recordists
perch_alone,whbsho3,s1,2,0.44881944444444444,0.046845824253608795,0.5747217435849672,0.6892393320964749,0.49583333333333335,52.5,,
perch_alone,whbsho3,ver,2,0.6870833333333334,0.024159481690540382,0.6482412060301508,0.8164556962025317,0.5375000000000001,6.0,,
perch_alone,whbsho3,perch_alone,2,0.5291666666666667,0.005892556509887875,0.054629799182078984,0.4365079365079365,0.029166666666666667,0.0,,
perch_alone,bcnher,s1,2,0.44072916666666667,0.04326118571009365,0.6975369458128078,0.8337349397590361,0.6,68.25,,
perch_alone,bcnher,ver,2,0.7590625,0.02872621298570351,0.7695262483994878,0.8400174367916303,0.7124999999999999,1.5,,
perch_alone,bcnher,perch_alone,2,0.5208333333333334,0.005892556509887875,0.031009615384615385,0.225,0.016666666666666666,0.0,,
perch_alone,barswa,s1,2,0.5816319444444444,0.01045928780505108,0.667762965846064,0.7161875276426359,0.6291666666666667,96.0,,
perch_alone,barswa,ver,2,0.7941319444444445,0.01586079793911489,0.7343436370935368,0.7989130434782609,0.6833333333333333,18.75,,
perch_alone,barswa,perch_alone,2,0.525,0.0,0.03137398522859061,0.2698412698412698,0.016666666666666666,0.0,,
perch_alone,bkwsti,s1,2,0.6752083333333333,0.07748711810502586,0.775071767641706,0.8088847189361181,0.7458333333333333,36.0,,
perch_alone,bkwsti,ver,2,0.8177083333333333,0.07414800274942274,0.7800486366223418,0.779451206932123,0.7833333333333333,1.5,,
perch_alone,bkwsti,perch_alone,2,0.5291666666666667,0.005892556509887875,0.06976744186046512,0.5,0.037500000000000006,0.0,,
perch_alone,blrwar1,s1,2,0.5356944444444445,0.02455231879119956,0.7057846480931922,0.8106733691840076,0.625,47.25,,
perch_alone,blrwar1,ver,2,0.6154861111111112,0.011490485194281388,0.6988135204453989,0.7733489843829744,0.6375,34.5,,
perch_alone,blrwar1,perch_alone,2,0.5251736111111112,0.005843451872305547,0.046461538461538464,0.35,0.024999999999999998,0.0,,
species_neg,whbsho3,background|s1,2,0.4540277777777778,0.0007856742013183912,0.5713178294573643,0.5672595520421608,0.5791666666666666,120.75,,
species_neg,whbsho3,background|ver,2,0.6775,0.04419417382415922,0.6585017496250803,0.7950478568456096,0.5625,12.0,,
species_neg,whbsho3,species_matched|s1,2,0.5366319444444445,0.017530355616916484,0.3347599003280165,0.30672505034421393,0.37083333333333335,103.5,,
species_neg,whbsho3,species_matched|ver,2,0.6553819444444444,0.01998558749603643,0.4312044817927171,0.6010822510822511,0.3416666666666667,11.25,,
species_neg,bcnher,background|s1,2,0.4552083333333333,0.04291745324701684,0.7097902097902098,0.8360572012257406,0.6166666666666667,53.25,,
species_neg,bcnher,background|ver,2,0.7703472222222223,0.039578337891413684,0.7755006986492781,0.8665465338138647,0.7041666666666667,0.0,,
species_neg,bcnher,species_matched|s1,2,0.4952777777777778,0.0017677669529663704,0.49574853007688835,0.5754320987654321,0.4375,30.75,,
species_neg,bcnher,species_matched|ver,2,0.6607638888888889,0.00854420693933745,0.5843445001318914,0.669382801664355,0.5208333333333333,4.5,,
species_neg,barswa,background|s1,2,0.5727430555555555,0.021655145173838028,0.6601042163590327,0.6801819312704089,0.6416666666666666,104.25,,
species_neg,barswa,background|ver,2,0.7748958333333333,0.03118144486482346,0.7321085935905287,0.8028347996089932,0.675,0.75,,
species_neg,barswa,species_matched|s1,2,0.5948958333333334,0.0430647671597641,0.4871258244545915,0.5430871212121212,0.44166666666666665,85.5,,
species_neg,barswa,species_matched|ver,2,0.7508680555555556,0.0660457375483268,0.5866606170598911,0.6130952380952381,0.5625,3.0,,
species_neg,bkwsti,background|s1,2,0.6592013888888888,0.10395451776193897,0.7709247648902822,0.8244642857142856,0.7250000000000001,30.0,,
species_neg,bkwsti,background|ver,2,0.8083680555555555,0.06683141174964523,0.7718545290264287,0.7741969200752561,0.7708333333333333,0.0,,
species_neg,bkwsti,species_matched|s1,2,0.6826736111111111,0.0468949288911912,0.5504954350742071,0.6514084507042254,0.49166666666666664,107.25,,
species_neg,bkwsti,species_matched|ver,2,0.7509375,0.04070774455580888,0.6281602578862537,0.7420410783055199,0.5458333333333334,8.25,,
species_neg,blrwar1,background|s1,2,0.510625,0.02641829501933074,0.6973684210526316,0.7592592592592593,0.6458333333333333,78.0,,
species_neg,blrwar1,background|ver,2,0.5923611111111111,0.001767766952966331,0.7014218009478674,0.8131868131868132,0.6166666666666667,23.25,,
species_neg,blrwar1,species_matched|s1,2,0.5693402777777777,0.07026873638041316,0.5491968727789623,0.7674523007856342,0.43333333333333335,46.5,,
species_neg,blrwar1,species_matched|ver,2,0.6429513888888889,0.07419710738700508,0.6006600660066006,0.7181571815718157,0.5166666666666667,14.25,,
recordist_disjoint,whbsho3,shared_ok|s1,2,0.4634722222222222,0.0007856742013183912,0.5609254282835068,0.6233319432860718,0.5125,98.25,17.0,-1.0
recordist_disjoint,whbsho3,shared_ok|ver,2,0.6992361111111112,0.05686317032041821,0.6443204463929852,0.8446575342465753,0.5208333333333334,3.75,17.0,-1.0
recordist_disjoint,whbsho3,disjoint|s1,2,0.4475,0.0,0.5623080557524214,0.6147563676633444,0.5291666666666667,84.0,17.0,8.0
recordist_disjoint,whbsho3,disjoint|ver,2,0.6922222222222223,0.0430156625221817,0.6290975678951848,0.8070592228067198,0.5166666666666666,10.5,17.0,8.0
recordist_disjoint,bcnher,shared_ok|s1,2,0.4330555555555555,0.07090709666898432,0.6919844861021331,0.82686294945284,0.6000000000000001,62.25,495.0,-1.0
recordist_disjoint,bcnher,shared_ok|ver,2,0.7675694444444445,0.007562114187689472,0.7805550127027555,0.834121320249777,0.7375,14.25,495.0,-1.0
recordist_disjoint,bcnher,disjoint|s1,2,0.4597916666666667,0.03290010718020742,0.6888037294563842,0.7379354136429608,0.6458333333333333,86.25,485.0,220.0
recordist_disjoint,bcnher,disjoint|ver,2,0.6469444444444444,0.15556349186104043,0.758416348387605,0.8128499187285534,0.7124999999999999,4.5,485.0,220.0
recordist_disjoint,barswa,shared_ok|s1,2,0.5842361111111112,0.037024896737129005,0.6814828364124138,0.7464399883754722,0.6291666666666667,84.0,495.0,-1.0
recordist_disjoint,barswa,shared_ok|ver,2,0.7915972222222223,0.04900642830723438,0.750040316078052,0.818459191456903,0.6958333333333333,0.75,495.0,-1.0
recordist_disjoint,barswa,disjoint|s1,2,0.5578125,0.025779934730759572,0.6942181069958848,0.7814532520325204,0.6375,60.0,487.0,185.0
